,Place,Size,Price
0,"1, MIGAA Golf Estate,, Kiambu Road, Kiambu Road",0.125 ac land for sale in Kiambu Road, 5000000
1,"Fundisa, Malindi Town, Malindi",Land for sale in Malindi Town, 4500000
2,"Ruiru Kamiti Road, Kamiti, Kiambaa",1222194 m² commercial land for sale in Kamiti, 3700000000
3,"Ruaka-Ndenderu road, Ruaka, Kiambaa",1012 m² commercial land for sale in Ruaka, 28000000
4,"Runda, Westlands",1 ac residential land for sale in Runda, 60000000
5,"Kikuyu Town, Kikuyu",Land for sale in Kikuyu Town, 16000000
6,"Gikambura, Kikuyu",Land for sale in Gikambura, 6200000
7,"Manyani Road, Lavington, Dagoretti North",1 ac land for sale in Lavington,P.O.A
8,"Ruiru, Ruiru, Ruiru",5665800 m² commercial land for sale in Ruiru, 4000000
9,"Kamuyu Drive, Gikambura, Kikuyu",500 m² residential land for sale in Gikambura, 2800000
10,"Gigiri, Westlands",2024 m² residential land for sale in Gigiri, 75000000
11,"Mugutha , Ruiru, Ruiru",1214 m² commercial land for sale in Ruiru, 15000000
12,"Wanjohi Area, Ol Kalou, Ol Kalou",Land Area 10 ac, 10000000
13,"Mutongoni Road, Athi River Area, Athi River",Land Area 80940 m², 320000000
14,"Parklands, Westlands",Land Area 2509 m², 220000000
15,"Kitengela, Kajiado North",Land Area 0 ac, 4500000
16,"Red Hill, Red Hill",Land Area 0 ac, 22000000
17,"Kikuyu Town, Kikuyu",Land Area 500 m², 3850000
18,"Thika Road, Kahawa Sukari, Roysambu",Land Area 0 ac, 12500000
19,"Karen, Langata",Land Area 4047 m², 50000000
20,"1/8 acre , Ongata Rongai, Ongata Rongai, Kajiado North",, 1500000
21,"332, Thika, Thika East, Thika East",Building Area 5000 ft², 3800000
22,"lukenya, Athi River",Land Area 40 ac, 400000000
23,"Outer Ring Road, Donholm, Embakasi",Land Area 0 ac,P.O.A
24,"Magarini Malindi, Magarini, Magarini",Land Area 22 ac, 1980000
25,"Naromoru, Nanyuki, Laikipia East",Land Area 500 m², 289000
26,"Kikenni, Mukoma, Nairobi Hardy, Langata","Land Area 1 ac
5
6", 47000000
27,"Bogani Road, Karen, Langata",Land Area 1 ac, 67000000
28,"Parklands, Westlands",Land Area 2023 m², 140000000
29,"Kikuyu Town, Kikuyu",Land Area 1000 m², 6500000
30,"Waiyaki Way, Westlands",Land Area 2000 m², 180000000
31,"Convent Road, Lavington, Dagoretti North",Land Area 0 ac, 145000000
32,"Mtwapa, Kilifi South",Land Area 24282 m², 5500000
33,"Malindi Town, Malindi","Land Area 300 m²
2
1", 995000
34,"Near NanyukiAirstrip, Nanyuki, Laikipia East",Land Area 5000 ft², 350000
35,"Kikuyu Town, Kikuyu",Land Area 0 ha, 800000
36,"Acacia, Acacia, Kitengela, Kajiado North",None 0 ha, 7500000
37,"Kisaju, Kajiado Central",Land Area 6 ac, 36000000
38,"Thika Road, Thika Road",Land Area 2023 m², 31000000
39,"Nanyuki, Laikipia East",Land Area 22662 m², 11200000
40,"Off Kabarserian Avenue, Lavington, Dagoretti North",Land Area 2671 m², 120000000
41,"Namanga Road, Kisaju, Kajiado Central",Land Area 101175 m², 325000000
42,"Limuru Area, Limuru",Land Area 500 m², 1900000
43,"Ruiru, Ruiru",, 1300000
44,"Nyasa Road, Makadara, Makadara",Land Area 23796 m², 440000000
45,"Kikuyu Town, Kikuyu",Land Area 0 ha, 4500000
46,"Ndeiya, Limuru",, 1400000
47,"Kikuyu Town, Kikuyu",Land Area 500 m², 5500000
48,"Kiambu Road, Kiambu Road",Land Area 0 ac, 5000000
49,"Kikuyu Town, Kikuyu",Land Area 0 ha, 1900000
50,"Muthaiga Area, Muthaiga",Land Area 4047 m², 220000000
51,"Kinoo, Kabete",Land Area 0 ha, 16500000
52,"Malindi Town, Malindi",, 1750000
53,"Thika Gatura, Thika Road, Thika Road",Land Area 95 ac, 855000000
54,"Namanga Road, Kisaju, Kajiado Central",Land Area 28329 m², 72000000
55,"Malindi Town, Malindi",Land Area 500 m², 1200000
56,"Pan African Insurance Avenue, Runda, Westlands",Land Area 2024 m², 50000000
57,"Koma phase 2, Koma Rock, Kangundo",Land Area 0 ac, 650000
58,"Nyali Area, Nyali",, 125000000
59,"Kinoo, Kabete",Land Area 0 ha, 5250000
60,"Banana-Raini Road, Ruaka, Kiambaa",Land Area 0 ac, 6500000
61,"Ongata Rongai, Kajiado North",Land Area 0 ha, 6000000
62,"Thika Greens, Thika, Thika",Land Area 1000 m², 5500000
63,"Canaan Rd, Off Kamiti Rd, Kahawa West, Roysambu",, 4500000
64,"Westwood Park, Karen, Karen, Langata",Land Area 1 ac, 61000000
65,"Kitengela, Kajiado North",, 1500000
66,"Kiratina, Ruiru, Ruiru",Land Area 400 m², 1350000
67,"Embakasi Estate, Embakasi",Land Area 0 ac, 23000000
68,"Membley , Ruiru, Ruiru",Land Area 506 m², 7000000
69,"Rhino Park Road, Karen, Langata",Land Area 1 ac, 61000000
70,"Juja, Kiambu Constituency",Land Area 0 ac, 720000
71,"Kuwinda, Karen, Langata",Land Area 2000 m², 28000000
72,"Athi River Area, Athi River",, 25000000
73,"the rest of Naivasha, Naivasha",Land Area 20235 m², 4600000
74,"Marereni, Jilore, Malindi",Building Area 0 ha, 200000
75,"Riverside, Westlands",, 370000000
76,"Lumumba rd, Majengo, Mvita",Land Area 3000 ft², 12000000
77,"Runda, Northern Bypass, Runda,, Runda, Westlands",Land Area 4047 m², 160000000
78,"Thika, Thika",Land Area 4047 m², 79999999
79,"Kia-Wamagira, Thogoto, Kikuyu Town, Kikuyu",Land Area 1800 m², 17000000
80,"Ukunda, Ukunda",, 6000000
81,"Isinya, Kajiado North",Land Area 88 ac, 352000000
82,"Ruiru, Ruiru",, 1500000
83,"South C, Langata",, 70000000
84,"Juja, Kiambu Constituency",Land Area 8094 m², 30000000
85,"Old Muthaiga, Muthaiga",Land Area 6475 m², 170000000
86,"kiambu, riabai, Runda, Westlands",Land Area 500 m², 5000000
87,"332 Ruiru, Rainbow Resort tarmac, Ruiru, Ruiru",Building Area 3200 ft², 4700000
88,"Rumuruti, Nanyuki, Laikipia East",Land Area 8 ha, 180000000
89,"MIGAA Golf Estate, Kiambu Road, Kiambu Road",Land Area 0 ac, 5000000
90,"Kinoo, Kabete",Land Area 500 m², 8000000
91,"Nyari, Westlands Redhill Link road, Nyari, Westlands",Land Area 1 ac, 220000000
92,"Nyali Area, Nyali",, 39000000
93,"Amboseli Road, Lavington, Dagoretti North",Land Area 1 ac, 156000000
94,"Westlands Area, Westlands",Land Area 0 ac, 180000000
95,"St. Julian Road, Red Hill, Red Hill",Land Area 0 ac, 10000000
96,"Mombasa Road, Mombasa Road",Land Area 1012 m², 20000000
97,"Thika Greens Estate, Thika Road, Thika Road",Land Area 1012 m², 5000000
98,"Lower Kabete, Westlands",, 85000000
99,"Dagoretti Road, Karen, Langata",Land Area 11332 m², 300000000
100,"Ruaka - Banana Rd, Ruaka, Kiambaa",Land Area 420 m², 15000000
101,"Kilimani, Dagoretti North",Land Area 3200 m², 300000000
102,"Muthaiga Area, Muthaiga",Land Area 1 ac, 650000000
103,"Magadi Road, Ongata Rongai, Kajiado North",Land Area 0 ac, 60000000
104,"Havana, Runda, Westlands",Land Area 2428 m², 55000000
105,"KANDARA ROAD, KANDARA, Thika, Thika",Land Area 0 ac, 5500000
106,"Kinoo, Kabete",, 22000000
107,"Kitengela, Kajiado North",, 1200000
108,"Karen, Langata",, 65000000
109,"Thika Super Highway, Juja, Kiambu Constituency",Land Area 1012 m², 18000000
110,"James gichuru, Gitanga road., Lavington, Dagoretti North",Land Area 0 ac, 260000000
111,"Kikuyu Town, Kikuyu",Land Area 1000 m², 4500000
112,"Gikambura, Kikuyu",Land Area 0 ha, 4000000
113,"Argwings Kodhek Road, Valley Arcade, Dagoretti North",Land Area 4047 m², 330000000
114,"Kitengela, Kajiado North",Land Area 500 m², 2400000
115,"Mazola , Garden, Kitengela, Kajiado North",Land Area 400 m², 1900000
116,"Nyeri Road, Kileleshwa, Dagoretti North",Land Area 4039 m², 285000000
117,"Off Mutongoni Road, lukenya, Athi River",Land Area 5000 ft², 450000
