,Place,Size,Price
1,"Fundisa, Malindi Town, Malindi",0.0, 4500000
5,"Kikuyu Town, Kikuyu",0.0, 16000000
6,"Gikambura, Kikuyu",0.0, 6200000
20,"1/8 acre , Ongata Rongai, Ongata Rongai, Kajiado North",0.0, 1500000
35,"Kikuyu Town, Kikuyu",0.0, 800000
36,"Acacia, Acacia, Kitengela, Kajiado North",0.0, 7500000
43,"Ruiru, Ruiru",0.0, 1300000
45,"Kikuyu Town, Kikuyu",0.0, 4500000
46,"Ndeiya, Limuru",0.0, 1400000
49,"Kikuyu Town, Kikuyu",0.0, 1900000
51,"Kinoo, Kabete",0.0, 16500000
52,"Malindi Town, Malindi",0.0, 1750000
58,"Nyali Area, Nyali",0.0, 125000000
59,"Kinoo, Kabete",0.0, 5250000
61,"Ongata Rongai, Kajiado North",0.0, 6000000
63,"Canaan Rd, Off Kamiti Rd, Kahawa West, Roysambu",0.0, 4500000
65,"Kitengela, Kajiado North",0.0, 1500000
72,"Athi River Area, Athi River",0.0, 25000000
74,"Marereni, Jilore, Malindi",0.0, 200000
75,"Riverside, Westlands",0.0, 370000000
80,"Ukunda, Ukunda",0.0, 6000000
82,"Ruiru, Ruiru",0.0, 1500000
83,"South C, Langata",0.0, 70000000
88,"Rumuruti, Nanyuki, Laikipia East",0.0, 180000000
92,"Nyali Area, Nyali",0.0, 39000000
98,"Lower Kabete, Westlands",0.0, 85000000
106,"Kinoo, Kabete",0.0, 22000000
107,"Kitengela, Kajiado North",0.0, 1200000
108,"Karen, Langata",0.0, 65000000
112,"Gikambura, Kikuyu",0.0, 4000000
118,"Ongata Rongai, Kajiado North",0.0, 11000000
119,"Kavunyalalo, Ganda, Malindi",0.0, 200000
121,"Juja, Kiambu Constituency",0.0, 800000
132,"Kiambu Town, Kiambu Town",0.0, 5500000
135,"Nyali Area, Nyali",0.0, 10000000
141,"Oltoroto, Oltoroto, Kitengela, Kajiado North",0.0, 550000
143,"Msabaha, Malindi Town, Malindi",0.0, 375000
149,"Gikambura, Kikuyu",0.0, 2950000
155,"Kahara Road, Ngong, Kajiado North",0.0, 17000000
156,"vipingo, Kilifi North",0.0, 18000000
157,"Kikuyu Town, Kikuyu",0.0, 4800000
158,"Ringroad, Kilimani, Dagoretti North",0.0, 340000000
160,"Mariakani, Mariakani, Mombasa CBD, Mombasa CBD",0.0, 4000000
169,"Lavington, Dagoretti North",0.0, 180000000
170,"Kiukenda, Kamiti, Kiambaa",0.0, 14000000
173,"Githambara, Thika Road, Thika Road",0.0, 900000000
178,"Kikuyu Town, Kikuyu",0.0, 3500000
179,"Ruaka, Kiambaa",0.0, 19000000
187,"Joska, Kangundo",0.0, 800000
191,"Tezo, Kilifi North",0.0, 380000
193,"juja road, Juja, Kiambu Constituency",0.0, 11000000
200,"Mombasa Road, Syokimau, Athi River",0.0, 75000000
207,"Thika Road, Thika Road, Thika Road",0.0, 7000000
209,"Thika, Thika",0.0, 6000000
210,"Kare. Fairacres, Karen, Langata",0.0, 56000000
212,"Kikuyu Town, Kikuyu",0.0, 4700000
225,"Thika, Thika",0.0, 850000
229,"Ruiru, Ruiru",0.0, 750000
237,"Kitengela, Kajiado North",0.0, 6500000
241,"Thika Superhighway, Juja, Kiambu Constituency",0.0, 6000000
243,"VI, Karaba road, Kirinyaga Central, Kirinyaga Central",0.0, 350000
244,"Baba Dogo, Ruaraka, Ruaraka",0.0, 900000000
246,"Juja farm, Mumba Area, Juja, Kiambu Constituency",0.0, 750000
254,"Ongata Rongai, Kajiado North",0.0, 1600000
262,"madaraka, langata, madaraka, langata, Madaraka, Langata",0.0, 110000000
263,"Kikuyu Town, Kikuyu",0.0, 3400000
273,"Oloolua drive, Ngong, Kajiado North",0.0, 6500000
281,"Kikuyu Town, Kikuyu",0.0, 1650000
283,"Kinoo, Kabete",0.0, 9000000
287,"Kikuyu Town, Kikuyu",0.0, 5500000
290,"001, Namanga Road, Isinya, Kajiado North",0.0, 850000
291,"Kikambala, Kilifi South",0.0, 17000000
294,"Nanyuki, Laikipia East",0.0, 170000
297,"Joska, Kangundo",0.0, 850000
301,"Namanga rd, Kitengela, Kajiado North",0.0, 2000000
303,"Westlands, Westlands Area, Westlands",0.0, 165000000
305,"Kikuyu Town, Kikuyu",0.0, 2400000
306,"Kilifi, Kilifi North",0.0, 250000000
308,"Ongata Rongai, Kajiado North",0.0, 5500000
310,"Lower Kabete, Westlands",0.0, 60000000
311,"Kikuyu Town, Kikuyu",0.0, 4200000
313,"Kikuyu Town, Kikuyu",0.0, 1950000
321,"Off Eastern Bypass, Ruiru, Ruiru",0.0, 7500000
322,"Ruiru, Ruiru",0.0,0
329,"Mugutha Estate, Ruiru, Ruiru",0.0, 1990000
331,"Imara Daima, Embakasi",0.0, 10200000
334,"4.2 Acres - Athi River, Off Mombasa Rd, Athi River Area, Athi River",0.0, 22000000
335,"Thika, Thika",0.0, 55000000
346,"Rhino Park, Karen, Langata",0.0, 60000000
347,"Diani, Msambweni",0.0, 150000000
353,"Juja, Kiambu Constituency",0.0, 1500000
359,"Ongata Rongai, Kajiado North",0.0, 11000000
361,"Nyali Area, Nyali",0.0, 76000000
363,"Mushroom Garden Road, Kiambu Road, Kiambu Road",0.0, 26000000
373,"Mtwapa, Kilifi South",0.0, 1500000
374,"Juja, Kiambu Constituency",0.0, 750000
380,"wangapala, Parklands, Westlands",0.0, 25000000
390,"Naivasha Njabini road, Naivasha Town, Naivasha",0.0, 2000000
395,"Kanjata Road, Lavington, Dagoretti North",0.0, 155000000
397,"Rungiri- Gitaru, Kikuyu Town, Kikuyu",0.0, 5000000
398,"Ongata Rongai, Kajiado North",0.0, 1300000
402,"Mtwapa, Kilifi South",0.0, 8000000
410,"Kitengela, Kajiado North",0.0, 5000000
412,"Mtwapa, Kilifi South",0.0, 400000000
413,"Juja, Kiambu Constituency",0.0, 650000
422,"Gikambura, Kikuyu",0.0, 3600000
424,"Kahawa West, Roysambu",0.0, 11000000
425,"Runda, Westlands",0.0, 57000000
428,"Karen, Langata",0.0, 30000000
429,"Nyali Area, Nyali",0.0, 9000000
432,"Kyuna, Westlands",0.0, 320000000
435,"Nyari, Westlands",0.0, 70000000
437,"mara / koiyaki, Narok, Narok",0.0, 60000000
442,"Old Muthaiga, Muthaiga",0.0, 180000000
443,"Ruaka, Ruaka, Kiambaa",0.0, 12300000
447,"Ngong, Kajiado North",0.0, 4500000
454,"Mtwapa, Kilifi South",0.0, 1500000
455,"Kikuyu Town, Kikuyu",0.0, 3500000
460,"Karen, Langata",0.0, 900000000
463,"Ngecha, Limuru",0.0, 38000000
468,"Kikuyu Town, Kikuyu",0.0, 2800000
473,"Kikuyu Town, Kikuyu",0.0, 5700000
484,"Kikuyu Town, Kikuyu",0.0, 3200000
487,"Convent drive, Lavington, Dagoretti North",0.0, 200000000
489,"Gikambura, Kikuyu",0.0, 6200000
492,"Kikuyu Town, Kikuyu",0.0, 1900000
493,"Rironi, Limuru",0.0, 1600000
500,"Kikuyu Town, Kikuyu",0.0, 2500000
512,"Ruiru, Ruiru",0.0, 6500000
514,"Nyali Area, Nyali",0.0, 25000000
516,"Limuru Road, Cianda, Kiambaa",0.0, 13500000
517,"Gikambura, Kikuyu",0.0, 1800000
525,"Sagana, Sagana gateaway resort, Maragwa, Maragwa",0.0, 550000
530,"Lavington, Dagoretti North",0.0, 110000000
534,"Kikuyu Town, Kikuyu",0.0, 1850000
537,"Kilifi, Kilifi North",0.0, 24000000
538,"Waithaka, Dagoretti South",0.0, 28000000
543,"Kamiti Road, Kamiti, Muthaiga",0.0, 7500000
551,"Kiserian Bypass, Isinya, Kajiado North",0.0, 9000000
562,"Nyali Area, Nyali",0.0, 60000000
564,"Kikuyu Town, Kikuyu",0.0, 2450000
572,"vipingo, Kilifi North",0.0, 30000000
579,"Runda, Westlands",0.0, 38000000
581,"Mtwapa, Kilifi South",0.0, 8000000
